,Tarih,Saat,Toplam (MWh),ISPARTA WindSpeed(m/s)
161,07.02.2018,17:00,13.65,(5.682547432672777+0j)
162,07.02.2018,18:00,9.37,(5.012780821978582+0j)
163,07.02.2018,19:00,18.93,(6.336980786544124+0j)
164,07.02.2018,20:00,24.35,(6.891786910639798+0j)
165,07.02.2018,21:00,44.45,(8.422792611179577+0j)
166,07.02.2018,22:00,32.6,(7.59576265267864+0j)
167,07.02.2018,23:00,46.66,(8.560131385814065+0j)
168,08.02.2018,00:00,30.57,(7.4347094114568515+0j)
169,08.02.2018,01:00,16.76,(6.0849478024446535+0j)
170,08.02.2018,02:00,20.66,(6.52442572524391+0j)
171,08.02.2018,03:00,43.84,(8.384085544758735+0j)
172,08.02.2018,04:00,41.3,(8.21893481923884+0j)
173,08.02.2018,05:00,38.34,(8.017695441789794+0j)
174,08.02.2018,06:00,33.59,(7.671886815372008+0j)
175,08.02.2018,07:00,37.52,(7.960123313331251+0j)
176,08.02.2018,08:00,41.77,(8.249994850389479+0j)
177,08.02.2018,09:00,41.0,(8.198985869873729+0j)
178,08.02.2018,10:00,46.0,(8.519578906310494+0j)
179,08.02.2018,11:00,51.86,(8.866992814367485+0j)
180,08.02.2018,12:00,57.15,(9.158779371270453+0j)
181,08.02.2018,13:00,55.37,(9.062687958914928+0j)
182,08.02.2018,14:00,56.16,(9.105585683160566+0j)
183,08.02.2018,15:00,58.36,(9.222966123486081+0j)
184,08.02.2018,16:00,58.09,(9.208720915449899+0j)
185,08.02.2018,17:00,49.21,(8.713312846098857+0j)
186,08.02.2018,18:00,36.84,(7.911740961062576+0j)
187,08.02.2018,19:00,32.2,(7.564568204074937+0j)
188,08.02.2018,20:00,45.89,(8.51278251732328+0j)
189,08.02.2018,21:00,48.18,(8.652091777611389+0j)
190,08.02.2018,22:00,22.88,(6.750213757440699+0j)
191,08.02.2018,23:00,9.69,(5.069207997801118+0j)
192,09.02.2018,00:00,8.4,(4.833465403584122+0j)
193,09.02.2018,01:00,10.48,(5.203384831428538+0j)
194,09.02.2018,02:00,11.87,(5.423951015447556+0j)
195,09.02.2018,03:00,17.25,(6.143679508413185+0j)
196,09.02.2018,04:00,11.6,(5.3825100424762615+0j)
197,09.02.2018,05:00,4.87,(4.030341434938804+0j)
198,09.02.2018,06:00,2.05,(3.0205322201522264+0j)
199,09.02.2018,07:00,0.32,(1.6263556089720208+0j)
200,09.02.2018,08:00,0.03,(0.7388210670827785+0j)
201,09.02.2018,09:00,0.0,0j
202,09.02.2018,10:00,0.0,0j
203,09.02.2018,11:00,0.0,0j
204,09.02.2018,12:00,0.0,0j
205,09.02.2018,13:00,0.0,0j
206,09.02.2018,14:00,0.0,0j
207,09.02.2018,15:00,0.29,(1.5738554840309478+0j)
208,09.02.2018,16:00,1.34,(2.621402958074495+0j)
209,09.02.2018,17:00,3.38,(3.5683799114714914+0j)
210,09.02.2018,18:00,1.87,(2.929404793581066+0j)
211,09.02.2018,19:00,2.84,(3.367221086252379+0j)
212,09.02.2018,20:00,1.19,(2.519694218651766+0j)
213,09.02.2018,21:00,0.06,(0.9308562145233849+0j)
214,09.02.2018,22:00,0.0,0j
215,09.02.2018,23:00,1.95,(2.970596895407982+0j)
216,10.02.2018,00:00,9.95,(5.114147064573804+0j)
217,10.02.2018,01:00,14.29,(5.77000596296382+0j)
218,10.02.2018,02:00,12.48,(5.515315751556191+0j)
219,10.02.2018,03:00,11.16,(5.313576251761998+0j)
220,10.02.2018,04:00,11.79,(5.4117383064840805+0j)
221,10.02.2018,05:00,15.51,(5.92974637557612+0j)
222,10.02.2018,06:00,11.72,(5.401006785930593+0j)
