,Tarih,Saat,Toplam (MWh),BURSA WindSpeed(m/s)
162,07.02.2018,18:00,5.0,(4.937589713934536+0j)
163,07.02.2018,19:00,3.0,(4.164524452590308+0j)
164,07.02.2018,20:00,1.0,(2.887519981512395+0j)
165,07.02.2018,21:00,4.0,(4.5836522562319715+0j)
166,07.02.2018,22:00,4.0,(4.5836522562319715+0j)
167,07.02.2018,23:00,8.0,(5.77503996302479+0j)
168,08.02.2018,00:00,36.0,(9.534380908683485+0j)
169,08.02.2018,01:00,34.0,(9.354443808532094+0j)
170,08.02.2018,02:00,26.0,(8.554266592678193+0j)
171,08.02.2018,03:00,14.0,(6.959333946093501+0j)
172,08.02.2018,04:00,15.0,(7.121236643276363+0j)
173,08.02.2018,05:00,8.0,(5.77503996302479+0j)
174,08.02.2018,06:00,2.0,(3.6380472066995213+0j)
175,08.02.2018,07:00,5.0,(4.937589713934536+0j)
176,08.02.2018,08:00,11.0,(6.421786950004645+0j)
177,08.02.2018,09:00,24.0,(8.329048905180615+0j)
178,08.02.2018,10:00,45.0,(10.270600488822707+0j)
179,08.02.2018,11:00,48.0,(10.493944041240903+0j)
180,08.02.2018,12:00,47.0,(10.42055741620353+0j)
181,08.02.2018,13:00,54.0,(10.914141620098563+0j)
182,08.02.2018,14:00,21.0,(7.966448686778112+0j)
183,08.02.2018,15:00,19.0,(7.7050630793852335+0j)
184,08.02.2018,16:00,14.0,(6.959333946093501+0j)
185,08.02.2018,17:00,1.0,(2.887519981512395+0j)
186,08.02.2018,18:00,2.0,(3.6380472066995213+0j)
187,08.02.2018,19:00,4.0,(4.5836522562319715+0j)
188,08.02.2018,20:00,6.0,(5.2469720206204515+0j)
189,08.02.2018,21:00,6.0,(5.2469720206204515+0j)
190,08.02.2018,22:00,14.0,(6.959333946093501+0j)
191,08.02.2018,23:00,18.0,(7.567443142154841+0j)
192,09.02.2018,00:00,22.0,(8.090944556251047+0j)
193,09.02.2018,01:00,36.0,(9.534380908683485+0j)
194,09.02.2018,02:00,37.0,(9.621857179459921+0j)
195,09.02.2018,03:00,30.0,(8.972195948146599+0j)
196,09.02.2018,04:00,22.0,(8.090944556251047+0j)
197,09.02.2018,05:00,20.0,(7.837935106087043+0j)
198,09.02.2018,06:00,12.0,(6.610770496989144+0j)
199,09.02.2018,07:00,14.0,(6.959333946093501+0j)
200,09.02.2018,08:00,17.0,(7.424626971120629+0j)
201,09.02.2018,09:00,11.0,(6.421786950004645+0j)
202,09.02.2018,10:00,8.0,(5.77503996302479+0j)
203,09.02.2018,11:00,6.0,(5.2469720206204515+0j)
204,09.02.2018,12:00,7.0,(5.523627013513412+0j)
205,09.02.2018,13:00,4.0,(4.5836522562319715+0j)
206,09.02.2018,14:00,0.0,0j
207,09.02.2018,15:00,0.0,0j
208,09.02.2018,16:00,0.0,0j
209,09.02.2018,17:00,0.0,0j
210,09.02.2018,18:00,0.0,0j
211,09.02.2018,19:00,0.0,0j
212,09.02.2018,20:00,1.0,(2.887519981512395+0j)
213,09.02.2018,21:00,1.0,(2.887519981512395+0j)
214,09.02.2018,22:00,1.0,(2.887519981512395+0j)
215,09.02.2018,23:00,1.0,(2.887519981512395+0j)
216,10.02.2018,00:00,2.0,(3.6380472066995213+0j)
217,10.02.2018,01:00,4.0,(4.5836522562319715+0j)
218,10.02.2018,02:00,2.0,(3.6380472066995213+0j)
219,10.02.2018,03:00,0.0,0j
220,10.02.2018,04:00,1.0,(2.887519981512395+0j)
221,10.02.2018,05:00,0.0,0j
222,10.02.2018,06:00,1.0,(2.887519981512395+0j)
223,10.02.2018,07:00,2.0,(3.6380472066995213+0j)
224,10.02.2018,08:00,3.0,(4.164524452590308+0j)
225,10.02.2018,09:00,3.0,(4.164524452590308+0j)
226,10.02.2018,10:00,3.0,(4.164524452590308+0j)
227,10.02.2018,11:00,2.0,(3.6380472066995213+0j)
228,10.02.2018,12:00,5.0,(4.937589713934536+0j)
229,10.02.2018,13:00,0.0,0j
230,10.02.2018,14:00,0.0,0j
231,10.02.2018,15:00,4.0,(4.5836522562319715+0j)
232,10.02.2018,16:00,10.0,(6.220973216330527+0j)
233,10.02.2018,17:00,5.0,(4.937589713934536+0j)
234,10.02.2018,18:00,1.0,(2.887519981512395+0j)
235,10.02.2018,19:00,6.0,(5.2469720206204515+0j)
236,10.02.2018,20:00,26.0,(8.554266592678193+0j)
237,10.02.2018,21:00,7.0,(5.523627013513412+0j)
238,10.02.2018,22:00,4.0,(4.5836522562319715+0j)
239,10.02.2018,23:00,6.0,(5.2469720206204515+0j)
240,11.02.2018,00:00,7.0,(5.523627013513412+0j)
241,11.02.2018,01:00,6.0,(5.2469720206204515+0j)
242,11.02.2018,02:00,5.0,(4.937589713934536+0j)
243,11.02.2018,03:00,6.0,(5.2469720206204515+0j)
244,11.02.2018,04:00,1.0,(2.887519981512395+0j)
245,11.02.2018,05:00,20.0,(7.837935106087043+0j)
246,11.02.2018,06:00,23.0,(8.211722729084702+0j)
247,11.02.2018,07:00,16.0,(7.276094413399043+0j)
248,11.02.2018,08:00,22.0,(8.090944556251047+0j)
249,11.02.2018,09:00,31.0,(9.07079940331659+0j)
250,11.02.2018,10:00,35.0,(9.445269331521574+0j)
251,11.02.2018,11:00,32.0,(9.167304512463943+0j)
252,11.02.2018,12:00,52.0,(10.777700546527747+0j)
253,11.02.2018,13:00,54.0,(10.914141620098563+0j)
254,11.02.2018,14:00,18.0,(7.567443142154841+0j)
255,11.02.2018,15:00,11.0,(6.421786950004645+0j)
256,11.02.2018,16:00,22.0,(8.090944556251047+0j)
257,11.02.2018,17:00,16.0,(7.276094413399043+0j)
258,11.02.2018,18:00,9.0,(6.006283602283066+0j)
259,11.02.2018,19:00,8.0,(5.77503996302479+0j)
260,11.02.2018,20:00,16.0,(7.276094413399043+0j)
261,11.02.2018,21:00,21.0,(7.966448686778112+0j)
262,11.02.2018,22:00,21.0,(7.966448686778112+0j)
263,11.02.2018,23:00,11.0,(6.421786950004645+0j)
264,12.02.2018,00:00,8.0,(5.77503996302479+0j)
265,12.02.2018,01:00,4.0,(4.5836522562319715+0j)
266,12.02.2018,02:00,4.0,(4.5836522562319715+0j)
267,12.02.2018,03:00,3.0,(4.164524452590308+0j)
268,12.02.2018,04:00,1.0,(2.887519981512395+0j)
269,12.02.2018,05:00,1.0,(2.887519981512395+0j)
270,12.02.2018,06:00,3.0,(4.164524452590308+0j)
271,12.02.2018,07:00,2.0,(3.6380472066995213+0j)
272,12.02.2018,08:00,2.0,(3.6380472066995213+0j)
273,12.02.2018,09:00,1.0,(2.887519981512395+0j)
274,12.02.2018,10:00,1.0,(2.887519981512395+0j)
275,12.02.2018,11:00,4.0,(4.5836522562319715+0j)
276,12.02.2018,12:00,3.0,(4.164524452590308+0j)
277,12.02.2018,13:00,3.0,(4.164524452590308+0j)
278,12.02.2018,14:00,4.0,(4.5836522562319715+0j)
279,12.02.2018,15:00,4.0,(4.5836522562319715+0j)
280,12.02.2018,16:00,3.0,(4.164524452590308+0j)
281,12.02.2018,17:00,4.0,(4.5836522562319715+0j)
282,12.02.2018,18:00,5.0,(4.937589713934536+0j)
283,12.02.2018,19:00,5.0,(4.937589713934536+0j)
284,12.02.2018,20:00,5.0,(4.937589713934536+0j)
285,12.02.2018,21:00,6.0,(5.2469720206204515+0j)
286,12.02.2018,22:00,8.0,(5.77503996302479+0j)
287,12.02.2018,23:00,6.0,(5.2469720206204515+0j)
288,13.02.2018,00:00,4.0,(4.5836522562319715+0j)
289,13.02.2018,01:00,2.0,(3.6380472066995213+0j)
290,13.02.2018,02:00,1.0,(2.887519981512395+0j)
291,13.02.2018,03:00,1.0,(2.887519981512395+0j)
292,13.02.2018,04:00,2.0,(3.6380472066995213+0j)
293,13.02.2018,05:00,2.0,(3.6380472066995213+0j)
294,13.02.2018,06:00,0.0,0j
295,13.02.2018,07:00,0.0,0j
296,13.02.2018,08:00,0.0,0j
297,13.02.2018,09:00,0.0,0j
298,13.02.2018,10:00,0.0,0j
299,13.02.2018,11:00,0.0,0j
300,13.02.2018,12:00,0.0,0j
301,13.02.2018,13:00,0.0,0j
302,13.02.2018,14:00,0.0,0j
303,13.02.2018,15:00,0.0,0j
304,13.02.2018,16:00,0.0,0j
305,13.02.2018,17:00,0.0,0j
306,13.02.2018,18:00,0.0,0j
307,13.02.2018,19:00,3.0,(4.164524452590308+0j)
308,13.02.2018,20:00,6.0,(5.2469720206204515+0j)
309,13.02.2018,21:00,15.0,(7.121236643276363+0j)
