,Tarih,Saat,Toplam (MWh),KIRLARELI WindSpeed(m/s)
181,08.02.2018,13:00,9.0,(5.758982284194173+0j)
182,08.02.2018,14:00,8.3,(5.605627953737194+0j)
183,08.02.2018,15:00,11.74,(6.292466880471451+0j)
184,08.02.2018,16:00,13.43,(6.580975039963983+0j)
185,08.02.2018,17:00,8.58,(5.66796729130082+0j)
186,08.02.2018,18:00,5.44,(4.869277652748975+0j)
187,08.02.2018,19:00,1.66,(3.2781911141098896+0j)
188,08.02.2018,20:00,1.91,(3.4351261866699074+0j)
189,08.02.2018,21:00,3.91,(4.361713731766935+0j)
190,08.02.2018,22:00,7.18,(5.341210828788205+0j)
191,08.02.2018,23:00,11.9,(6.32092387304361+0j)
192,09.02.2018,00:00,24.65,(8.057566168475484+0j)
193,09.02.2018,01:00,3.95,(4.376537001977032+0j)
194,09.02.2018,02:00,0.93,(2.7024596746861307+0j)
195,09.02.2018,03:00,2.4,(3.7068241743475703+0j)
196,09.02.2018,04:00,4.87,(4.692899205292199+0j)
197,09.02.2018,05:00,8.4,(5.628050704252971+0j)
198,09.02.2018,06:00,10.0,(5.964832318220179+0j)
199,09.02.2018,07:00,4.57,(4.594486425827877+0j)
200,09.02.2018,08:00,4.91,(4.705712645557766+0j)
201,09.02.2018,09:00,8.02,(5.541870359717638+0j)
202,09.02.2018,10:00,6.7,(5.219431156009464+0j)
203,09.02.2018,11:00,3.1,(4.036938537839252+0j)
204,09.02.2018,12:00,2.66,(3.8361194182890506+0j)
205,09.02.2018,13:00,3.14,(4.054227564797929+0j)
206,09.02.2018,14:00,4.04,(4.4095272193007276+0j)
207,09.02.2018,15:00,4.01,(4.398585419443582+0j)
208,09.02.2018,16:00,2.82,(3.911541498835867+0j)
209,09.02.2018,17:00,1.29,(3.0138951722903493+0j)
210,09.02.2018,18:00,0.0,0j
211,09.02.2018,19:00,0.0,0j
212,09.02.2018,20:00,0.0,0j
213,09.02.2018,21:00,0.0,0j
214,09.02.2018,22:00,0.0,0j
215,09.02.2018,23:00,1.22,(2.9583633687576674+0j)
216,10.02.2018,00:00,4.22,(4.474066034464833+0j)
217,10.02.2018,01:00,7.15,(5.333761431633283+0j)
218,10.02.2018,02:00,9.25,(5.811819935481006+0j)
219,10.02.2018,03:00,10.5,(6.062633837250487+0j)
220,10.02.2018,04:00,12.65,(6.451020389841289+0j)
221,10.02.2018,05:00,16.8,(7.090899552163982+0j)
222,10.02.2018,06:00,18.35,(7.302590182294028+0j)
223,10.02.2018,07:00,22.9,(7.862187561254043+0j)
224,10.02.2018,08:00,24.0,(7.986110591063201+0j)
225,10.02.2018,09:00,27.8,(8.387126075250167+0j)
226,10.02.2018,10:00,25.7,(8.170386735896688+0j)
227,10.02.2018,11:00,29.0,(8.506108251251453+0j)
228,10.02.2018,12:00,35.8,(9.124853802367218+0j)
229,10.02.2018,13:00,42.6,(9.669442587364257+0j)
230,10.02.2018,14:00,44.1,(9.781627103377636+0j)
231,10.02.2018,15:00,52.1,(10.340562101666643+0j)
232,10.02.2018,16:00,53.18,(10.411525098883537+0j)
233,10.02.2018,17:00,54.24,(10.480245746976852+0j)
234,10.02.2018,18:00,57.37,(10.67808046977742+0j)
235,10.02.2018,19:00,59.17,(10.788608390214332+0j)
236,10.02.2018,20:00,59.23,(10.7922538064033+0j)
237,10.02.2018,21:00,59.17,(10.788608390214332+0j)
238,10.02.2018,22:00,59.34,(10.798930680540174+0j)
239,10.02.2018,23:00,59.2,(10.790431406198712+0j)
240,11.02.2018,00:00,59.8,(10.826763099203069+0j)
241,11.02.2018,01:00,58.23,(10.73117233642511+0j)
242,11.02.2018,02:00,59.67,(10.81891192668953+0j)
243,11.02.2018,03:00,55.4,(10.554431063860472+0j)
244,11.02.2018,04:00,57.4,(10.679941410991427+0j)
245,11.02.2018,05:00,48.29,(10.082091654342577+0j)
246,11.02.2018,06:00,39.36,(9.417810249173842+0j)
247,11.02.2018,07:00,35.45,(9.095019877770822+0j)
248,11.02.2018,08:00,42.0,(9.623831330949423+0j)
249,11.02.2018,09:00,47.1,(9.99858497238807+0j)
250,11.02.2018,10:00,47.1,(9.99858497238807+0j)
251,11.02.2018,11:00,47.65,(10.037353225790046+0j)
252,11.02.2018,12:00,41.85,(9.61236072254549+0j)
253,11.02.2018,13:00,38.4,(9.340611611039375+0j)
254,11.02.2018,14:00,36.3,(9.167138251535626+0j)
255,11.02.2018,15:00,39.1,(9.397027371707107+0j)
256,11.02.2018,16:00,29.44,(8.54891189550637+0j)
257,11.02.2018,17:00,23.0,(7.87361517553674+0j)
258,11.02.2018,18:00,18.58,(7.332973957359971+0j)
259,11.02.2018,19:00,13.76,(6.634441729798313+0j)
260,11.02.2018,20:00,4.48,(4.56412549661276+0j)
261,11.02.2018,21:00,2.4,(3.7068241743475703+0j)
262,11.02.2018,22:00,1.8,(3.367873270607482+0j)
263,11.02.2018,23:00,0.98,(2.750047939596543+0j)
264,12.02.2018,00:00,0.12,(1.3656057018218093+0j)
265,12.02.2018,01:00,0.0,0j
266,12.02.2018,02:00,0.76,(2.526597740964282+0j)
267,12.02.2018,03:00,2.06,(3.52279452626915+0j)
268,12.02.2018,04:00,7.95,(5.525699741529783+0j)
269,12.02.2018,05:00,6.3,(5.113423416100749+0j)
270,12.02.2018,06:00,4.37,(4.526460328337886+0j)
271,12.02.2018,07:00,5.95,(5.016920602740167+0j)
272,12.02.2018,08:00,6.75,(5.232382651182353+0j)
273,12.02.2018,09:00,6.63,(5.201190359153891+0j)
274,12.02.2018,10:00,1.53,(3.1902793761138932+0j)
275,12.02.2018,11:00,0.09,(1.2407351212346982+0j)
276,12.02.2018,12:00,0.0,0j
277,12.02.2018,13:00,0.0,0j
278,12.02.2018,14:00,0.0,0j
279,12.02.2018,15:00,0.1,(1.2850841666596855+0j)
280,12.02.2018,16:00,0.0,0j
281,12.02.2018,17:00,0.0,0j
282,12.02.2018,18:00,0.19,(1.5916568392288668+0j)
283,12.02.2018,19:00,0.5,(2.1974630144431297+0j)
284,12.02.2018,20:00,0.14,(1.437609446886077+0j)
285,12.02.2018,21:00,0.0,0j
286,12.02.2018,22:00,0.06,(1.0838819638228558+0j)
287,12.02.2018,23:00,0.02,(0.7515217796818838+0j)
288,13.02.2018,00:00,-0.55,(1.1341986871302256+1.9644897519874673j)
289,13.02.2018,01:00,-0.36,(0.9847721183309259+1.7056753428263938j)
290,13.02.2018,02:00,-0.48,(1.083881963822856+1.877338630748718j)
291,13.02.2018,03:00,-0.64,(1.192966463644036+2.0662785267572397j)
292,13.02.2018,04:00,-0.63,(1.1867204514853678+2.0554601163537334j)
293,13.02.2018,05:00,-0.64,(1.192966463644036+2.0662785267572397j)
294,13.02.2018,06:00,-0.59,(1.1610535418058077+2.011003724715454j)
295,13.02.2018,07:00,-0.67,(1.2113226685772087+2.0980724063356413j)
296,13.02.2018,08:00,-0.66,(1.2052659540346014+2.0875818690209043j)
297,13.02.2018,09:00,-0.64,(1.192966463644036+2.0662785267572397j)
298,13.02.2018,10:00,0.0,0j
299,13.02.2018,11:00,0.2,(1.6191045924611491+0j)
300,13.02.2018,12:00,0.65,(2.398295494753236+0j)
301,13.02.2018,13:00,0.98,(2.750047939596543+0j)
302,13.02.2018,14:00,0.17,(1.5337263531202834+0j)
303,13.02.2018,15:00,1.49,(3.1622315124439067+0j)
304,13.02.2018,16:00,0.22,(1.6713694756417292+0j)
305,13.02.2018,17:00,0.17,(1.5337263531202834+0j)
306,13.02.2018,18:00,0.95,(2.7216949104448203+0j)
307,13.02.2018,19:00,1.91,(3.4351261866699074+0j)
