,Tarih,Saat,Toplam (MWh),YALOVA WindSpeed(m/s)
286,12.02.2018,22:00,0.0,0j
287,12.02.2018,23:00,0.6,(2.1874164121298327+0j)
288,13.02.2018,00:00,0.0,0j
289,13.02.2018,01:00,1.0,(2.5934689301454257+0j)
290,13.02.2018,02:00,0.0,0j
291,13.02.2018,03:00,0.0,0j
292,13.02.2018,04:00,0.0,0j
293,13.02.2018,05:00,0.0,0j
294,13.02.2018,06:00,0.0,0j
295,13.02.2018,07:00,0.0,0j
296,13.02.2018,08:00,0.0,0j
297,13.02.2018,09:00,0.0,0j
298,13.02.2018,10:00,0.0,0j
299,13.02.2018,11:00,0.0,0j
300,13.02.2018,12:00,0.0,0j
301,13.02.2018,13:00,0.0,0j
302,13.02.2018,14:00,1.0,(2.5934689301454257+0j)
303,13.02.2018,15:00,0.0,0j
304,13.02.2018,16:00,1.0,(2.5934689301454257+0j)
305,13.02.2018,17:00,1.0,(2.5934689301454257+0j)
306,13.02.2018,18:00,2.0,(3.267566097338558+0j)
307,13.02.2018,19:00,7.0,(4.961127588026532+0j)
308,13.02.2018,20:00,19.0,(6.920416769109193+0j)
309,13.02.2018,21:00,26.0,(7.683141509092493+0j)
310,13.02.2018,22:00,27.0,(7.7804067904362775+0j)
311,13.02.2018,23:00,38.01,(8.719943534606928+0j)
312,14.02.2018,00:00,36.0,(8.563445729608777+0j)
313,14.02.2018,01:00,37.0,(8.642013840595439+0j)
314,14.02.2018,02:00,35.0,(8.483408843919547+0j)
315,14.02.2018,03:00,38.0,(8.71917876144614+0j)
316,14.02.2018,04:00,40.0,(8.86953897800405+0j)
317,14.02.2018,05:00,39.0,(8.795001513010876+0j)
318,14.02.2018,06:00,40.0,(8.86953897800405+0j)
319,14.02.2018,07:00,34.0,(8.40183255234561+0j)
320,14.02.2018,08:00,40.0,(8.86953897800405+0j)
321,14.02.2018,09:00,48.0,(9.425291599675182+0j)
322,14.02.2018,10:00,34.0,(8.40183255234561+0j)
323,14.02.2018,11:00,32.0,(8.233750615919378+0j)
324,14.02.2018,12:00,39.0,(8.795001513010876+0j)
325,14.02.2018,13:00,40.0,(8.86953897800405+0j)
326,14.02.2018,14:00,42.0,(9.014967103870655+0j)
327,14.02.2018,15:00,33.0,(8.318640627219+0j)
328,14.02.2018,16:00,30.0,(8.058510962929244+0j)
329,14.02.2018,17:00,39.0,(8.795001513010876+0j)
330,14.02.2018,18:00,34.0,(8.40183255234561+0j)
331,14.02.2018,19:00,36.0,(8.563445729608777+0j)
332,14.02.2018,20:00,40.0,(8.86953897800405+0j)
333,14.02.2018,21:00,32.0,(8.233750615919378+0j)
334,14.02.2018,22:00,33.0,(8.318640627219+0j)
335,14.02.2018,23:00,30.68,(8.118943165546433+0j)
336,15.02.2018,00:00,30.0,(8.058510962929244+0j)
337,15.02.2018,01:00,30.0,(8.058510962929244+0j)
338,15.02.2018,02:00,20.0,(7.039757752078289+0j)
339,15.02.2018,03:00,14.0,(6.2506290793688075+0j)
340,15.02.2018,04:00,7.0,(4.961127588026532+0j)
341,15.02.2018,05:00,17.0,(6.668538916027042+0j)
342,15.02.2018,06:00,14.0,(6.2506290793688075+0j)
343,15.02.2018,07:00,10.0,(5.587459430625182+0j)
344,15.02.2018,08:00,6.0,(4.712645799837591+0j)
345,15.02.2018,09:00,6.0,(4.712645799837591+0j)
346,15.02.2018,10:00,5.0,(4.434769489002025+0j)
347,15.02.2018,11:00,3.0,(3.7404294501078543+0j)
348,15.02.2018,12:00,0.0,0j
349,15.02.2018,13:00,0.0,0j
350,15.02.2018,14:00,0.0,0j
351,15.02.2018,15:00,5.0,(4.434769489002025+0j)
352,15.02.2018,16:00,10.0,(5.587459430625182+0j)
353,15.02.2018,17:00,21.0,(7.155184132071494+0j)
354,15.02.2018,18:00,27.0,(7.7804067904362775+0j)
355,15.02.2018,19:00,23.0,(7.375480653711542+0j)
356,15.02.2018,20:00,27.0,(7.7804067904362775+0j)
357,15.02.2018,21:00,27.0,(7.7804067904362775+0j)
358,15.02.2018,22:00,27.0,(7.7804067904362775+0j)
359,15.02.2018,23:00,30.96,(8.143567494037569+0j)
360,16.02.2018,00:00,28.0,(7.875299152181772+0j)
361,16.02.2018,01:00,29.0,(7.9679582309792645+0j)
362,16.02.2018,02:00,28.0,(7.875299152181772+0j)
363,16.02.2018,03:00,26.0,(7.683141509092493+0j)
364,16.02.2018,04:00,29.0,(7.9679582309792645+0j)
365,16.02.2018,05:00,28.0,(7.875299152181772+0j)
366,16.02.2018,06:00,30.0,(8.058510962929244+0j)
367,16.02.2018,07:00,29.0,(7.9679582309792645+0j)
368,16.02.2018,08:00,38.0,(8.71917876144614+0j)
369,16.02.2018,09:00,33.0,(8.318640627219+0j)
370,16.02.2018,10:00,35.0,(8.483408843919547+0j)
371,16.02.2018,11:00,33.0,(8.318640627219+0j)
372,16.02.2018,12:00,24.0,(7.480858900215709+0j)
373,16.02.2018,13:00,27.0,(7.7804067904362775+0j)
374,16.02.2018,14:00,28.0,(7.875299152181772+0j)
375,16.02.2018,15:00,29.0,(7.9679582309792645+0j)
376,16.02.2018,16:00,18.0,(6.796811379826778+0j)
377,16.02.2018,17:00,25.0,(7.583349155249169+0j)
378,16.02.2018,18:00,20.0,(7.039757752078289+0j)
379,16.02.2018,19:00,28.0,(7.875299152181772+0j)
380,16.02.2018,20:00,19.0,(6.920416769109193+0j)
381,16.02.2018,21:00,12.0,(5.937561643914042+0j)
382,16.02.2018,22:00,10.0,(5.587459430625182+0j)
383,16.02.2018,23:00,10.58,(5.693459977029295+0j)
384,17.02.2018,00:00,6.0,(4.712645799837591+0j)
385,17.02.2018,01:00,11.0,(5.76782326615353+0j)
386,17.02.2018,02:00,10.0,(5.587459430625182+0j)
387,17.02.2018,03:00,7.0,(4.961127588026532+0j)
388,17.02.2018,04:00,8.0,(5.186937860290851+0j)
389,17.02.2018,05:00,10.0,(5.587459430625182+0j)
390,17.02.2018,06:00,10.0,(5.587459430625182+0j)
391,17.02.2018,07:00,14.0,(6.2506290793688075+0j)
392,17.02.2018,08:00,21.0,(7.155184132071494+0j)
393,17.02.2018,09:00,23.0,(7.375480653711542+0j)
394,17.02.2018,10:00,23.0,(7.375480653711542+0j)
395,17.02.2018,11:00,21.0,(7.155184132071494+0j)
396,17.02.2018,12:00,14.0,(6.2506290793688075+0j)
397,17.02.2018,13:00,28.0,(7.875299152181772+0j)
398,17.02.2018,14:00,26.0,(7.683141509092493+0j)
399,17.02.2018,15:00,12.0,(5.937561643914042+0j)
400,17.02.2018,16:00,8.0,(5.186937860290851+0j)
401,17.02.2018,17:00,20.0,(7.039757752078289+0j)
402,17.02.2018,18:00,24.0,(7.480858900215709+0j)
403,17.02.2018,19:00,22.0,(7.2670019451002315+0j)
404,17.02.2018,20:00,11.0,(5.76782326615353+0j)
405,17.02.2018,21:00,8.0,(5.186937860290851+0j)
406,17.02.2018,22:00,5.0,(4.434769489002025+0j)
407,17.02.2018,23:00,3.94,(4.096187143182553+0j)
408,18.02.2018,00:00,3.0,(3.7404294501078543+0j)
409,18.02.2018,01:00,2.0,(3.267566097338558+0j)
410,18.02.2018,02:00,1.0,(2.5934689301454257+0j)
411,18.02.2018,03:00,0.0,0j
412,18.02.2018,04:00,0.0,0j
413,18.02.2018,05:00,0.0,0j
414,18.02.2018,06:00,0.0,0j
415,18.02.2018,07:00,0.0,0j
416,18.02.2018,08:00,0.0,0j
417,18.02.2018,09:00,0.0,0j
418,18.02.2018,10:00,0.0,0j
419,18.02.2018,11:00,0.0,0j
420,18.02.2018,12:00,0.0,0j
421,18.02.2018,13:00,0.0,0j
422,18.02.2018,14:00,0.0,0j
423,18.02.2018,15:00,0.0,0j
424,18.02.2018,16:00,0.0,0j
425,18.02.2018,17:00,0.0,0j
426,18.02.2018,18:00,0.0,0j
427,18.02.2018,19:00,0.0,0j
428,18.02.2018,20:00,0.0,0j
429,18.02.2018,21:00,0.0,0j
430,18.02.2018,22:00,0.0,0j
431,18.02.2018,23:00,0.01,(0.5587459430625182+0j)
432,19.02.2018,00:00,0.0,0j
433,19.02.2018,01:00,1.0,(2.5934689301454257+0j)
434,19.02.2018,02:00,3.0,(3.7404294501078543+0j)
435,19.02.2018,03:00,5.0,(4.434769489002025+0j)
436,19.02.2018,04:00,8.0,(5.186937860290851+0j)
437,19.02.2018,05:00,11.0,(5.76782326615353+0j)
438,19.02.2018,06:00,12.0,(5.937561643914042+0j)
439,19.02.2018,07:00,12.0,(5.937561643914042+0j)
440,19.02.2018,08:00,12.0,(5.937561643914042+0j)
441,19.02.2018,09:00,17.0,(6.668538916027042+0j)
442,19.02.2018,10:00,7.0,(4.961127588026532+0j)
443,19.02.2018,11:00,21.0,(7.155184132071494+0j)
444,19.02.2018,12:00,33.0,(8.318640627219+0j)
