,Tarih,Saat,Toplam (MWh),CNK WindSpeed(m/s)
226,10.02.2018,10:00,13.24,(6.960564796068327+0j)
227,10.02.2018,11:00,15.11,(7.2739443439884415+0j)
228,10.02.2018,12:00,22.98,(8.364984882613825+0j)
229,10.02.2018,13:00,37.37,(9.836853079402108+0j)
230,10.02.2018,14:00,43.41,(10.340584334407477+0j)
231,10.02.2018,15:00,40.2,(10.079148332863937+0j)
232,10.02.2018,16:00,43.76,(10.368300844043187+0j)
233,10.02.2018,17:00,46.92,(10.612095594008983+0j)
234,10.02.2018,18:00,46.08,(10.548385079871577+0j)
235,10.02.2018,19:00,54.54,(11.15801301165473+0j)
236,10.02.2018,20:00,52.2,(10.996099306107778+0j)
237,10.02.2018,21:00,53.82,(11.108695183346446+0j)
238,10.02.2018,22:00,50.09,(10.845897510654256+0j)
239,10.02.2018,23:00,51.14,(10.92115892154754+0j)
240,11.02.2018,00:00,48.29,(10.714392556520512+0j)
241,11.02.2018,01:00,26.31,(8.750954686346159+0j)
242,11.02.2018,02:00,35.31,(9.652675907815812+0j)
243,11.02.2018,03:00,33.04,(9.441228278699539+0j)
244,11.02.2018,04:00,34.9,(9.615169870732048+0j)
245,11.02.2018,05:00,18.1,(7.725169383179756+0j)
246,11.02.2018,06:00,15.9,(7.398565569691525+0j)
247,11.02.2018,07:00,22.52,(8.308793159594503+0j)
248,11.02.2018,08:00,28.06,(8.94082733500917+0j)
249,11.02.2018,09:00,20.0,(7.986536562399142+0j)
250,11.02.2018,10:00,8.84,(6.083673627894788+0j)
251,11.02.2018,11:00,3.86,(4.615416736156654+0j)
252,11.02.2018,12:00,0.66,(2.56170902016621+0j)
253,11.02.2018,13:00,0.46,(2.2712647613184154+0j)
254,11.02.2018,14:00,1.94,(3.6695746668899485+0j)
255,11.02.2018,15:00,21.91,(8.233085233651215+0j)
256,11.02.2018,16:00,21.55,(8.187743780709809+0j)
257,11.02.2018,17:00,20.22,(8.015713806651792+0j)
258,11.02.2018,18:00,21.53,(8.185210052006882+0j)
259,11.02.2018,19:00,6.36,(5.4513097206999666+0j)
260,11.02.2018,20:00,1.04,(2.9809836823483673+0j)
261,11.02.2018,21:00,0.19,(1.6914779963762145+0j)
262,11.02.2018,22:00,0.0,0j
263,11.02.2018,23:00,0.16,(1.5973073124798285+0j)
264,12.02.2018,00:00,0.26,(1.87790204539192+0j)
265,12.02.2018,01:00,0.17,(1.629914385328295+0j)
266,12.02.2018,02:00,0.34,(2.053563443601582+0j)
267,12.02.2018,03:00,0.63,(2.5222918433971704+0j)
268,12.02.2018,04:00,0.0,0j
269,12.02.2018,05:00,0.0,0j
270,12.02.2018,06:00,0.0,0j
271,12.02.2018,07:00,0.0,0j
272,12.02.2018,08:00,0.0,0j
273,12.02.2018,09:00,0.3,(1.969649290227053+0j)
274,12.02.2018,10:00,0.8,(2.731357083791305+0j)
275,12.02.2018,11:00,0.1,(1.3656785418956527+0j)
276,12.02.2018,12:00,0.02,(0.7986536562399142+0j)
277,12.02.2018,13:00,0.79,(2.7199286778107665+0j)
278,12.02.2018,14:00,2.58,(4.035416706553363+0j)
