,Tarih,Saat,Toplam (MWh),KONYA WindSpeed(m/s)
355,11.10.2018,19:00,3.75,(3.58405375276077+0j)
356,11.10.2018,20:00,4.56,(3.8254779771899647+0j)
357,11.10.2018,21:00,4.03,(3.6711244506897995+0j)
358,11.10.2018,22:00,4.4,(3.780201795631669+0j)
359,11.10.2018,23:00,3.8,(3.5999126042266743+0j)
360,12.10.2018,00:00,4.51,(3.811444549602012+0j)
361,12.10.2018,01:00,4.18,(3.716118198723943+0j)
362,12.10.2018,02:00,4.6,(3.836631037315961+0j)
363,12.10.2018,03:00,4.31,(3.754249935351316+0j)
364,12.10.2018,04:00,3.92,(3.637414392770127+0j)
365,12.10.2018,05:00,3.57,(3.5257660962367834+0j)
366,12.10.2018,06:00,3.12,(3.3709239646088616+0j)
367,12.10.2018,07:00,2.32,(3.053937092571961+0j)
368,12.10.2018,08:00,2.57,(3.1599130538692353+0j)
369,12.10.2018,09:00,2.98,(3.3197306379588656+0j)
370,12.10.2018,10:00,2.41,(3.0929277332626515+0j)
371,12.10.2018,11:00,2.56,(3.155809266065022+0j)
372,12.10.2018,12:00,2.3,(3.045136072324601+0j)
373,12.10.2018,13:00,1.71,(2.7586469844113406+0j)
374,12.10.2018,14:00,1.23,(2.4717191881456224+0j)
375,12.10.2018,15:00,1.19,(2.4446296735489987+0j)
376,12.10.2018,16:00,1.37,(2.5621484024902457+0j)
377,12.10.2018,17:00,1.08,(2.3668569495487666+0j)
378,12.10.2018,18:00,4.17,(3.7131524207691817+0j)
379,12.10.2018,19:00,3.51,(3.5059022037604413+0j)
380,12.10.2018,20:00,1.46,(2.6170682208756513+0j)
381,12.10.2018,21:00,0.34,(1.6101156239390424+0j)
382,12.10.2018,22:00,0.69,(2.038514424297888+0j)
383,12.10.2018,23:00,0.0,0j
384,13.10.2018,00:00,0.0,0j
385,13.10.2018,01:00,0.02,(0.6261918685953259+0j)
386,13.10.2018,02:00,0.0,0j
387,13.10.2018,03:00,0.0,0j
388,13.10.2018,04:00,0.02,(0.6261918685953259+0j)
389,13.10.2018,05:00,0.04,(0.7889523165162555+0j)
390,13.10.2018,06:00,0.05,(0.8498731197418178+0j)
391,13.10.2018,07:00,0.0,0j
392,13.10.2018,08:00,0.0,0j
393,13.10.2018,09:00,0.0,0j
394,13.10.2018,10:00,0.0,0j
395,13.10.2018,11:00,0.0,0j
396,13.10.2018,12:00,0.0,0j
397,13.10.2018,13:00,0.0,0j
398,13.10.2018,14:00,0.0,0j
399,13.10.2018,15:00,0.0,0j
400,13.10.2018,16:00,0.0,0j
401,13.10.2018,17:00,0.0,0j
402,13.10.2018,18:00,0.0,0j
403,13.10.2018,19:00,0.03,(0.716810750552154+0j)
404,13.10.2018,20:00,0.22,(1.3926382486324018+0j)
405,13.10.2018,21:00,0.34,(1.6101156239390424+0j)
406,13.10.2018,22:00,0.11,(1.1053377104451128+0j)
407,13.10.2018,23:00,0.0,0j
408,14.10.2018,00:00,0.0,0j
409,14.10.2018,01:00,0.0,0j
410,14.10.2018,02:00,0.0,0j
411,14.10.2018,03:00,0.0,0j
412,14.10.2018,04:00,0.0,0j
413,14.10.2018,05:00,0.0,0j
414,14.10.2018,06:00,0.0,0j
415,14.10.2018,07:00,0.04,(0.7889523165162555+0j)
416,14.10.2018,08:00,0.0,0j
417,14.10.2018,09:00,0.0,0j
418,14.10.2018,10:00,0.0,0j
419,14.10.2018,11:00,0.0,0j
420,14.10.2018,12:00,0.0,0j
421,14.10.2018,13:00,0.0,0j
422,14.10.2018,14:00,0.04,(0.7889523165162555+0j)
423,14.10.2018,15:00,0.45,(1.767807328021609+0j)
424,14.10.2018,16:00,0.38,(1.6709314145760432+0j)
425,14.10.2018,17:00,0.28,(1.509211487984457+0j)
426,14.10.2018,18:00,0.29,(1.5269685462859808+0j)
427,14.10.2018,19:00,0.26,(1.4723866617968684+0j)
428,14.10.2018,20:00,0.29,(1.5269685462859808+0j)
429,14.10.2018,21:00,0.21,(1.371209636877696+0j)
430,14.10.2018,22:00,0.0,0j
431,14.10.2018,23:00,0.04,(0.7889523165162555+0j)
432,15.10.2018,00:00,0.23,(1.4134269590133344+0j)
433,15.10.2018,01:00,0.71,(2.058022924722261+0j)
434,15.10.2018,02:00,0.57,(1.9127389885949826+0j)
435,15.10.2018,03:00,1.08,(2.3668569495487666+0j)
436,15.10.2018,04:00,1.1,(2.3813779075833685+0j)
437,15.10.2018,05:00,1.0,(2.3069105680976625+0j)
438,15.10.2018,06:00,0.65,(1.998336146610393+0j)
439,15.10.2018,07:00,0.25,(1.4532625924855926+0j)
440,15.10.2018,08:00,0.18,(1.3025315759917813+0j)
441,15.10.2018,09:00,0.0,0j
442,15.10.2018,10:00,0.0,0j
443,15.10.2018,11:00,0.0,0j
444,15.10.2018,12:00,0.0,0j
445,15.10.2018,13:00,0.0,0j
446,15.10.2018,14:00,0.0,0j
447,15.10.2018,15:00,0.0,0j
448,15.10.2018,16:00,0.0,0j
449,15.10.2018,17:00,0.33,(1.5941728379340387+0j)
450,15.10.2018,18:00,0.0,0j
451,15.10.2018,19:00,0.0,0j
452,15.10.2018,20:00,0.0,0j
453,15.10.2018,21:00,0.0,0j
454,15.10.2018,22:00,0.0,0j
455,15.10.2018,23:00,0.0,0j
456,16.10.2018,00:00,0.0,0j
457,16.10.2018,01:00,0.0,0j
458,16.10.2018,02:00,0.0,0j
459,16.10.2018,03:00,0.0,0j
460,16.10.2018,04:00,0.0,0j
461,16.10.2018,05:00,0.0,0j
462,16.10.2018,06:00,0.0,0j
463,16.10.2018,07:00,0.0,0j
464,16.10.2018,08:00,0.4,(1.6997462394836356+0j)
465,16.10.2018,09:00,0.56,(1.9014873224547808+0j)
466,16.10.2018,10:00,0.52,(1.855090948782318+0j)
467,16.10.2018,11:00,0.5,(1.830996131297393+0j)
468,16.10.2018,12:00,0.15,(1.2257291417634533+0j)
469,16.10.2018,13:00,0.1,(1.0707730333025423+0j)
470,16.10.2018,14:00,0.1,(1.0707730333025423+0j)
471,16.10.2018,15:00,0.06,(0.903124953411602+0j)
472,16.10.2018,16:00,0.23,(1.4134269590133344+0j)
473,16.10.2018,17:00,0.44,(1.7546142443406931+0j)
474,16.10.2018,18:00,0.0,0j
475,16.10.2018,19:00,0.0,0j
476,16.10.2018,20:00,0.0,0j
477,16.10.2018,21:00,0.0,0j
478,16.10.2018,22:00,0.0,0j
479,16.10.2018,23:00,0.0,0j
480,17.10.2018,00:00,0.0,0j
481,17.10.2018,01:00,0.0,0j
482,17.10.2018,02:00,0.0,0j
483,17.10.2018,03:00,0.0,0j
484,17.10.2018,04:00,0.0,0j
485,17.10.2018,05:00,0.0,0j
486,17.10.2018,06:00,0.0,0j
487,17.10.2018,07:00,0.0,0j
488,17.10.2018,08:00,0.0,0j
489,17.10.2018,09:00,0.0,0j
490,17.10.2018,10:00,0.0,0j
491,17.10.2018,11:00,0.0,0j
492,17.10.2018,12:00,0.0,0j
493,17.10.2018,13:00,0.0,0j
494,17.10.2018,14:00,0.0,0j
495,17.10.2018,15:00,0.0,0j
496,17.10.2018,16:00,0.02,(0.6261918685953259+0j)
497,17.10.2018,17:00,0.65,(1.998336146610393+0j)
498,17.10.2018,18:00,0.45,(1.767807328021609+0j)
499,17.10.2018,19:00,0.33,(1.5941728379340387+0j)
