,Tarih,Saat,Toplam (MWh),AYDIN WindSpeed(m/s)
257,11.02.2018,17:00,38.2,(10.139082883757233+0j)
258,11.02.2018,18:00,38.8,(10.191891559662574+0j)
259,11.02.2018,19:00,30.6,(9.4163955729724+0j)
260,11.02.2018,20:00,39.9,(10.287310561975508+0j)
261,11.02.2018,21:00,38.5,(10.165555805177062+0j)
262,11.02.2018,22:00,27.6,(9.098027523670474+0j)
263,11.02.2018,23:00,19.2,(8.061415298822206+0j)
264,12.02.2018,00:00,13.9,(7.238509561436398+0j)
265,12.02.2018,01:00,19.3,(8.075386583791563+0j)
266,12.02.2018,02:00,11.4,(6.7755699946582935+0j)
267,12.02.2018,03:00,14.5,(7.341197134139915+0j)
268,12.02.2018,04:00,14.2,(7.29021495364087+0j)
269,12.02.2018,05:00,14.5,(7.341197134139915+0j)
270,12.02.2018,06:00,8.6,(6.167990593632756+0j)
271,12.02.2018,07:00,7.2,(5.813286375397948+0j)
272,12.02.2018,08:00,4.9,(5.113397785162633+0j)
273,12.02.2018,09:00,1.6,(3.521147461588707+0j)
274,12.02.2018,10:00,0.1,(1.3973682961652671+0j)
275,12.02.2018,11:00,1.55,(3.48407999866735+0j)
276,12.02.2018,12:00,1.65,(3.5574505100711296+0j)
277,12.02.2018,13:00,0.5,(2.3894661750912056+0j)
278,12.02.2018,14:00,1.0,(3.010538732009199+0j)
279,12.02.2018,15:00,2.9,(4.293158127988514+0j)
280,12.02.2018,16:00,2.5,(4.0859296848035305+0j)
281,12.02.2018,17:00,1.6,(3.521147461588707+0j)
282,12.02.2018,18:00,4.0,(4.778932350182411+0j)
283,12.02.2018,19:00,3.4,(4.5269308229880085+0j)
284,12.02.2018,20:00,12.8,(7.042294923177414+0j)
285,12.02.2018,21:00,10.0,(6.486009079925218+0j)
286,12.02.2018,22:00,3.8,(4.697917845948198+0j)
287,12.02.2018,23:00,9.8,(6.4424775060122235+0j)
288,13.02.2018,00:00,8.7,(6.191805465353192+0j)
289,13.02.2018,01:00,11.9,(6.873214106764702+0j)
290,13.02.2018,02:00,8.6,(6.167990593632756+0j)
291,13.02.2018,03:00,9.2,(6.3082199578893094+0j)
292,13.02.2018,04:00,11.9,(6.873214106764702+0j)
293,13.02.2018,05:00,7.1,(5.7862474432419075+0j)
294,13.02.2018,06:00,3.6,(4.614008453849553+0j)
295,13.02.2018,07:00,4.4,(4.933196838204467+0j)
296,13.02.2018,08:00,5.2,(5.2156927556195685+0j)
297,13.02.2018,09:00,3.4,(4.5269308229880085+0j)
298,13.02.2018,10:00,0.5,(2.3894661750912056+0j)
299,13.02.2018,11:00,0.0,0j
300,13.02.2018,12:00,0.0,0j
301,13.02.2018,13:00,0.05,(1.1090919516598778+0j)
302,13.02.2018,14:00,0.0,0j
303,13.02.2018,15:00,0.05,(1.1090919516598778+0j)
304,13.02.2018,16:00,0.35,(2.1216165788920676+0j)
305,13.02.2018,17:00,0.0,0j
306,13.02.2018,18:00,1.75,(3.627913317975938+0j)
307,13.02.2018,19:00,6.9,(5.731398194797679+0j)
308,13.02.2018,20:00,17.8,(7.860512929979061+0j)
309,13.02.2018,21:00,22.5,(8.499076239487389+0j)
310,13.02.2018,22:00,25.5,(8.861167496362844+0j)
311,13.02.2018,23:00,20.0,(8.171859369607061+0j)
312,14.02.2018,00:00,30.2,(9.375185436990789+0j)
313,14.02.2018,01:00,33.7,(9.724206794194371+0j)
314,14.02.2018,02:00,37.7,(10.094651626209705+0j)
315,14.02.2018,03:00,42.1,(10.473011592758978+0j)
316,14.02.2018,04:00,39.5,(10.252818063093027+0j)
317,14.02.2018,05:00,35.6,(9.903625703451445+0j)
318,14.02.2018,06:00,30.2,(9.375185436990789+0j)
319,14.02.2018,07:00,27.4,(9.075998315131603+0j)
320,14.02.2018,08:00,33.2,(9.675874948564317+0j)
321,14.02.2018,09:00,31.0,(9.457248126008613+0j)
322,14.02.2018,10:00,34.6,(9.810013053098722+0j)
323,14.02.2018,11:00,28.4,(9.18509527835051+0j)
324,14.02.2018,12:00,40.0,(10.295897636548585+0j)
325,14.02.2018,13:00,42.5,(10.506075779259325+0j)
326,14.02.2018,14:00,39.9,(10.287310561975508+0j)
327,14.02.2018,15:00,18.5,(7.962231402407791+0j)
328,14.02.2018,16:00,12.9,(7.060586680466396+0j)
329,14.02.2018,17:00,19.6,(8.117013023299025+0j)
330,14.02.2018,18:00,12.2,(6.930493531915656+0j)
331,14.02.2018,19:00,9.2,(6.3082199578893094+0j)
332,14.02.2018,20:00,13.6,(7.186054750598432+0j)
333,14.02.2018,21:00,15.3,(7.4737981191425416+0j)
334,14.02.2018,22:00,18.0,(7.88984347384567+0j)
335,14.02.2018,23:00,11.2,(6.73571277841288+0j)
336,15.02.2018,00:00,18.9,(8.019208162656188+0j)
337,15.02.2018,01:00,13.4,(7.150654892002369+0j)
338,15.02.2018,02:00,18.6,(7.976551993339418+0j)
