,Tarih,Saat,Toplam (MWh),AFYON WindSpeed(m/s)
347,15.02.2018,11:00,131.4,(8.937963856619998+0j)
348,15.02.2018,12:00,121.3,(8.702828113448849+0j)
349,15.02.2018,13:00,127.6,(8.850959710470255+0j)
350,15.02.2018,14:00,140.3,(9.135367635461407+0j)
351,15.02.2018,15:00,151.2,(9.366070075285368+0j)
352,15.02.2018,16:00,125.65,(8.805640887144003+0j)
353,15.02.2018,17:00,113.65,(8.515888223403957+0j)
354,15.02.2018,18:00,114.65,(8.540792264069964+0j)
355,15.02.2018,19:00,121.1,(8.698042394522046+0j)
356,15.02.2018,20:00,85.05,(7.731520499160326+0j)
357,15.02.2018,21:00,69.2,(7.21786636731885+0j)
358,15.02.2018,22:00,108.15,(8.37623745120618+0j)
359,15.02.2018,23:00,103.05,(8.242446516071933+0j)
360,16.02.2018,00:00,51.0,(6.519738811863608+0j)
361,16.02.2018,01:00,53.1,(6.608024523843751+0j)
362,16.02.2018,02:00,44.7,(6.23939738772389+0j)
363,16.02.2018,03:00,29.5,(5.432263289391772+0j)
364,16.02.2018,04:00,51.6,(6.5452068001685+0j)
365,16.02.2018,05:00,61.6,(6.943317791437236+0j)
366,16.02.2018,06:00,45.5,(6.276399868075006+0j)
367,16.02.2018,07:00,52.2,(6.570478119565557+0j)
368,16.02.2018,08:00,80.0,(7.575363342531713+0j)
369,16.02.2018,09:00,123.0,(8.743295893976889+0j)
370,16.02.2018,10:00,93.2,(7.970987165233585+0j)
371,16.02.2018,11:00,108.0,(8.372363150259766+0j)
372,16.02.2018,12:00,88.5,(7.8346793949219915+0j)
373,16.02.2018,13:00,91.0,(7.907768311345105+0j)
374,16.02.2018,14:00,102.7,(8.233104356898686+0j)
375,16.02.2018,15:00,118.4,(8.63291317773266+0j)
376,16.02.2018,16:00,97.8,(8.100026206510702+0j)
377,16.02.2018,17:00,109.25,(8.40454011196024+0j)
378,16.02.2018,18:00,139.1,(9.109247785583962+0j)
379,16.02.2018,19:00,141.25,(9.15594041859014+0j)
380,16.02.2018,20:00,131.7,(8.944760789928862+0j)
381,16.02.2018,21:00,133.45,(8.984205249718153+0j)
382,16.02.2018,22:00,107.5,(8.359422846559244+0j)
383,16.02.2018,23:00,105.15,(8.298059885528028+0j)
384,17.02.2018,00:00,108.7,(8.3904126493189+0j)
385,17.02.2018,01:00,109.3,(8.405822073559127+0j)
386,17.02.2018,02:00,82.9,(7.66581467760985+0j)
387,17.02.2018,03:00,83.4,(7.681195566917088+0j)
