,Tarih,Saat,Toplam (MWh),HATAY WindSpeed(m/s)
165,07.02.2018,21:00,10.35,(5.630554285857308+0j)
166,07.02.2018,22:00,5.12,(4.4530853630804605+0j)
167,07.02.2018,23:00,13.6,(6.167142774905282+0j)
168,08.02.2018,00:00,25.12,(7.566776593304975+0j)
169,08.02.2018,01:00,15.55,(6.448833504727078+0j)
170,08.02.2018,02:00,7.6,(5.079748734700741+0j)
171,08.02.2018,03:00,4.96,(4.406207298931695+0j)
172,08.02.2018,04:00,2.45,(3.483050154626356+0j)
173,08.02.2018,05:00,15.36,(6.422460451445005+0j)
174,08.02.2018,06:00,19.61,(6.967284818765297+0j)
175,08.02.2018,07:00,29.94,(8.022719941926692+0j)
176,08.02.2018,08:00,38.85,(8.750537046257241+0j)
177,08.02.2018,09:00,31.73,(8.179518219116758+0j)
178,08.02.2018,10:00,18.19,(6.79488221764719+0j)
179,08.02.2018,11:00,21.9,(7.228570233201868+0j)
180,08.02.2018,12:00,28.02,(7.847423253124775+0j)
181,08.02.2018,13:00,12.65,(6.020065389597483+0j)
182,08.02.2018,14:00,1.84,(3.1659956056312106+0j)
183,08.02.2018,15:00,0.0,0j
184,08.02.2018,16:00,0.0,0j
185,08.02.2018,17:00,0.0,0j
186,08.02.2018,18:00,0.0,0j
187,08.02.2018,19:00,0.0,0j
188,08.02.2018,20:00,3.72,(4.003305009588031+0j)
189,08.02.2018,21:00,3.58,(3.952440816891173+0j)
190,08.02.2018,22:00,5.83,(4.6500813607611535+0j)
191,08.02.2018,23:00,0.0,0j
192,09.02.2018,00:00,0.0,0j
193,09.02.2018,01:00,0.0,0j
194,09.02.2018,02:00,0.0,0j
195,09.02.2018,03:00,0.0,0j
196,09.02.2018,04:00,0.74,(2.3369438264676687+0j)
197,09.02.2018,05:00,4.55,(4.281291831823606+0j)
198,09.02.2018,06:00,31.68,(8.175219543625062+0j)
199,09.02.2018,07:00,31.47,(8.15711554991893+0j)
200,09.02.2018,08:00,27.03,(7.75389142235625+0j)
201,09.02.2018,09:00,9.02,(5.378236295373061+0j)
202,09.02.2018,10:00,6.56,(4.8365867286125654+0j)
203,09.02.2018,11:00,3.61,(3.9634504582102936+0j)
204,09.02.2018,12:00,1.19,(2.7379153745781837+0j)
205,09.02.2018,13:00,0.21,(1.5357156084614483+0j)
206,09.02.2018,14:00,0.0,0j
207,09.02.2018,15:00,0.0,0j
208,09.02.2018,16:00,1.38,(2.8764979059042677+0j)
209,09.02.2018,17:00,0.16,(1.4026339964809569+0j)
210,09.02.2018,18:00,1.72,(3.0956167104784718+0j)
211,09.02.2018,19:00,2.81,(3.6459144456280277+0j)
212,09.02.2018,20:00,3.97,(4.091047628581743+0j)
213,09.02.2018,21:00,1.66,(3.059194309417535+0j)
214,09.02.2018,22:00,0.0,0j
215,09.02.2018,23:00,0.0,0j
216,10.02.2018,00:00,0.0,0j
217,10.02.2018,01:00,0.09,(1.1578488533016102+0j)
218,10.02.2018,02:00,0.0,0j
219,10.02.2018,03:00,0.0,0j
220,10.02.2018,04:00,0.0,0j
221,10.02.2018,05:00,0.0,0j
222,10.02.2018,06:00,0.0,0j
223,10.02.2018,07:00,0.31,(1.748604525378533+0j)
224,10.02.2018,08:00,12.97,(6.070405351753018+0j)
225,10.02.2018,09:00,20.45,(7.0653791248289055+0j)
226,10.02.2018,10:00,14.44,(6.291585426786862+0j)
227,10.02.2018,11:00,14.97,(6.367637037730342+0j)
228,10.02.2018,12:00,18.33,(6.812270038118787+0j)
229,10.02.2018,13:00,27.64,(7.811786757824655+0j)
230,10.02.2018,14:00,31.95,(8.198378929517927+0j)
231,10.02.2018,15:00,33.56,(8.33383729798422+0j)
232,10.02.2018,16:00,37.13,(8.619445932689766+0j)
233,10.02.2018,17:00,42.81,(9.03828661753859+0j)
234,10.02.2018,18:00,44.48,(9.15431725884234+0j)
235,10.02.2018,19:00,52.19,(9.655322826126886+0j)
236,10.02.2018,20:00,53.12,(9.712336529889049+0j)
237,10.02.2018,21:00,57.08,(9.94792162192344+0j)
238,10.02.2018,22:00,57.26,(9.9583674695929+0j)
239,10.02.2018,23:00,57.75,(9.986692925805665+0j)
240,11.02.2018,00:00,57.77,(9.987845657728618+0j)
241,11.02.2018,01:00,57.73,(9.985539927708965+0j)
242,11.02.2018,02:00,57.76,(9.987269325029258+0j)
243,11.02.2018,03:00,57.73,(9.985539927708965+0j)
244,11.02.2018,04:00,57.76,(9.987269325029258+0j)
245,11.02.2018,05:00,57.78,(9.988421923922933+0j)
246,11.02.2018,06:00,56.65,(9.922878448848586+0j)
247,11.02.2018,07:00,55.33,(9.845201067888118+0j)
248,11.02.2018,08:00,57.2,(9.954887955868147+0j)
249,11.02.2018,09:00,56.01,(9.885369129740853+0j)
250,11.02.2018,10:00,54.02,(9.766880933697466+0j)
251,11.02.2018,11:00,53.28,(9.722078097632828+0j)
252,11.02.2018,12:00,41.86,(8.970929452561393+0j)
253,11.02.2018,13:00,44.24,(9.137822957779782+0j)
254,11.02.2018,14:00,23.98,(7.450534435518376+0j)
255,11.02.2018,15:00,6.36,(4.786926272647013+0j)
256,11.02.2018,16:00,9.75,(5.519578385498099+0j)
257,11.02.2018,17:00,10.58,(5.671956907201376+0j)
258,11.02.2018,18:00,12.4,(5.980143357294626+0j)
259,11.02.2018,19:00,13.81,(6.198723427560047+0j)
260,11.02.2018,20:00,1.09,(2.658968542663433+0j)
261,11.02.2018,21:00,1.3,(2.8198033197618484+0j)
262,11.02.2018,22:00,1.51,(2.9641261478717134+0j)
263,11.02.2018,23:00,0.06,(1.0114741393616116+0j)
264,12.02.2018,00:00,0.06,(1.0114741393616116+0j)
265,12.02.2018,01:00,0.13,(1.308836760199084+0j)
266,12.02.2018,02:00,0.44,(1.9651178123269955+0j)
267,12.02.2018,03:00,0.0,0j
268,12.02.2018,04:00,0.0,0j
269,12.02.2018,05:00,0.0,0j
270,12.02.2018,06:00,0.61,(2.191194748484969+0j)
271,12.02.2018,07:00,0.06,(1.0114741393616116+0j)
272,12.02.2018,08:00,0.06,(1.0114741393616116+0j)
273,12.02.2018,09:00,0.24,(1.6056151128612512+0j)
274,12.02.2018,10:00,0.0,0j
275,12.02.2018,11:00,0.04,(0.8836040487322645+0j)
276,12.02.2018,12:00,3.35,(3.8659179801599306+0j)
277,12.02.2018,13:00,0.28,(1.6902737380438826+0j)
278,12.02.2018,14:00,1.5,(2.9575683252369442+0j)
279,12.02.2018,15:00,4.76,(4.346169745805315+0j)
280,12.02.2018,16:00,1.62,(3.0344224180848345+0j)
281,12.02.2018,17:00,0.0,0j
282,12.02.2018,18:00,3.27,(3.834896238117252+0j)
283,12.02.2018,19:00,9.51,(5.47391276975283+0j)
284,12.02.2018,20:00,29.95,(8.023613042228172+0j)
285,12.02.2018,21:00,39.45,(8.795354919163847+0j)
286,12.02.2018,22:00,18.01,(6.772394853343389+0j)
287,12.02.2018,23:00,6.71,(4.873173495190611+0j)
288,13.02.2018,00:00,22.84,(7.330547292602307+0j)
289,13.02.2018,01:00,35.21,(8.468237734361239+0j)
290,13.02.2018,02:00,38.51,(8.724935122162552+0j)
291,13.02.2018,03:00,26.44,(7.697059616361152+0j)
292,13.02.2018,04:00,11.87,(5.893698833066696+0j)
